minute,service,endpoint,count,avg_response_ms,errors,avg_cpu,avg_mem
2025-12-06T09:14:00+00:00,auth-service,/login,3,103.67,0,58.3,49.05
2025-12-06T09:14:00+00:00,catalog-service,/login,4,103.75,0,32.29,41.99
2025-12-06T09:14:00+00:00,web-frontend,/login,5,152.8,0,28.26,27.12
2025-12-06T09:14:00+00:00,catalog-service,/,2,59.5,0,42.59,56.07
2025-12-06T09:14:00+00:00,catalog-service,/api/items,4,73.5,0,22.82,38.55
2025-12-06T09:14:00+00:00,web-frontend,/,2,141.0,0,56.89,44.12
2025-12-06T09:14:00+00:00,auth-service,/api/items,3,100.33,0,43.91,37.63
2025-12-06T09:14:00+00:00,auth-service,/,3,182.67,1,55.82,40.83
2025-12-06T09:15:00+00:00,catalog-service,/,36,102.06,2,50.65,38.87
2025-12-06T09:15:00+00:00,catalog-service,/login,40,104.83,0,36.94,42.36
2025-12-06T09:15:00+00:00,auth-service,/login,27,144.04,2,39.18,43.82
2025-12-06T09:15:00+00:00,web-frontend,/api/items,35,116.14,0,39.9,36.55
2025-12-06T09:15:00+00:00,web-frontend,/login,38,112.32,1,36.82,43.54
2025-12-06T09:15:00+00:00,auth-service,/api/items,28,133.93,4,43.8,48.28
2025-12-06T09:15:00+00:00,auth-service,/,38,121.71,3,33.29,40.73
2025-12-06T09:15:00+00:00,catalog-service,/api/items,28,100.61,0,37.98,48.83
2025-12-06T09:15:00+00:00,web-frontend,/,30,122.8,0,41.16,47.64
2025-12-06T09:16:00+00:00,catalog-service,/api/items,14,159.57,1,52.63,42.02
2025-12-06T09:16:00+00:00,web-frontend,/api/items,24,126.79,2,46.29,46.33
2025-12-06T09:16:00+00:00,web-frontend,/login,19,114.05,2,32.16,59.91
2025-12-06T09:16:00+00:00,auth-service,/,20,122.8,2,40.17,39.69
2025-12-06T09:16:00+00:00,auth-service,/api/items,14,137.93,0,36.5,55.44
2025-12-06T09:16:00+00:00,web-frontend,/,13,127.62,1,31.85,48.24
2025-12-06T09:16:00+00:00,catalog-service,/,21,108.62,2,46.79,41.84
2025-12-06T09:16:00+00:00,auth-service,/login,12,130.67,1,35.69,47.4
2025-12-06T09:16:00+00:00,catalog-service,/login,19,113.95,1,43.9,39.75
